Title,Short Intro,URL,Category,Sub-Category,Skills,Rating,Number of viewers,Duration,Level,preference,skill_vector,popularity,Cluster
Applied Software Engineering Fundamentals Specialization,"Build the foundation of your career in Software. Develop hands-on experience with Git, GitHub, Linux, and Python, and learn the fundamentals of Software Engineering. ",https://www.coursera.org/specializations/software-engineering-fundamentals,Computer Science,Software Development,"Linux, Software Design and Architecture, Python Programming, Git and GitHub, Software Development Lifecycle (SDLC), Basic programming concepts, Careers in software engineering, Programming languages and frameworks, The Software Development Lifecycle (SDLC), Software Architecture, Shell Script, Bash (Unix Shell), ",4.7,201,3360,2,"computer science, software development","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",1.20883e-05,2
Cloud Application Development Foundations Specialization,Kickstart Your Career as a Cloud Native Developer. Learn the foundational front-end and back-end skills for developing and deploying applications on Cloud.,https://www.coursera.org/specializations/ibm-cloud-application-development-foundations,Information Technology,Cloud Computing,"Devops, Python Programming, Node.Js, HTML and CSS, Cloud Applications, Cloud Native, Iaas PaaS Saas, Hybrid Multicloud, Cloud Computing, Cascading Style Sheets (CSS), HTML, Git (Software), ",4.5,342,4032,2,"information technology, cloud computing","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",2.05681e-05,3
Python for Everybody Specialization,"Learn to Program and Analyze Data with Python. Develop programs to gather, clean, analyze, and visualize data.",https://www.coursera.org/specializations/python,Computer Science,Software Development,"Json, Xml, Python Programming, Database (DBMS), Python Syntax And Semantics, Basic Programming Language, Computer Programming, Data Structure, Tuple, Web Scraping, Sqlite, SQL, ",4.8,202757,5376,2,"computer science, software development","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",0.0121939389,2
Information Technology (IT) and Cloud Fundamentals Specialization,"Kickstart a new IT and Cloud Career . Master hardware, operating systems, programming, database, networking, storage, cybersecurity, and Cloud computing essentials. ",https://www.coursera.org/specializations/it-cloud-fundamentals,Information Technology,Cloud Computing,"IT Fundamentals, Cybersecurity, Cloud, Networking, hardware, Technical Support, IT Service Management (ITSM), Troubleshooting, IT Career, Software Development Process, database management, Software Application Development, ",4.8,278,4704,2,"information technology, cloud computing","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",1.67191e-05,3
"BI Foundations with SQL, ETL and Data Warehousing Specialization","Springboard for BI Analytics success. Develop hands-on skills for building data pipelines, warehouses,  reports and dashboards.",https://www.coursera.org/specializations/bi-foundations-sql-etl-data-warehouse,Information Technology,Data Management,"Shell Script, Bash (Unix Shell), Linux, Cloud Databases, Python Programming, Jupyter notebooks, Relational Database Management System (RDBMS), SQL, Extraction, Transformation And Loading (ETL), Apache Kafka, Apache Airflow, Data Pipelines, ",4.6,210,3360,2,"information technology, data management","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",1.26295e-05,3
Natural Language Processing Specialization,Break into NLP. Master cutting-edge NLP techniques through four hands-on courses! Updated with the latest techniques in October '21.,https://www.coursera.org/specializations/natural-language-processing,Data Science,Machine Learning,"Word2vec, Machine Translation, Sentiment Analysis, Transformers, Attention Models, Word Embeddings, Locality-Sensitive Hashing, Vector Space Models, Parts-of-Speech Tagging, N-gram Language Models, Autocorrect, Word Embedding, ",4.6,4787,2688,2,"data science, machine learning","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1]",0.0002878933,0
Business Foundations Specialization,"Solve Real Business Problems. Build a foundation of core business skills in marketing, finance, accounting and operations.",https://www.coursera.org/specializations/wharton-business-foundations,Business,Business Essentials,"Positioning (Marketing), Marketing, Marketing Strategy, Customer Satisfaction, Financial Accounting, Accounting, Financial Statement, Balance Sheet, Decision-Making, Change Management, Human Resources (HR), Discounted Cash Flow, ",4.7,17404,4704,2,"business, business essentials","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]",0.001046688,3
Meta React Native Specialization,"Become a cross-platform mobile app developer. Learn in-demand skills for developing reliable, scalable and user-friendly mobile apps for multiple operating systems, such as iOS and Android.",https://www.coursera.org/specializations/meta-react-native,Computer Science,Mobile and Web Development,"Web Development, React (Web Framework), HTML and CSS, Mobile Development, JavaScript, Test-Driven Development, Front-End Web Development, Object-Oriented Programming (OOP), Linux, Bash (Unix Shell), Github, Version Control, ",4.8,564,5376,2,"computer science, mobile and web development","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",3.39193e-05,2
Mathematics for Machine Learning and Data Science Specialization,"Master the Toolkit of AI and Machine Learning. Mathematics for Machine Learning and Data Science is a beginner-friendly Specialization where you’ll learn the fundamental mathematics toolkit of machine learning: calculus, linear algebra, statistics, and probability.",https://www.coursera.org/specializations/mathematics-for-machine-learning-and-data-science,Computer Science,Algorithms,"Bayesian Statistics, Machine Learning, Mathematics, Probability, Linear Regression, Linear Equation, Eigenvalues And Eigenvectors, Linear Algebra, Determinants, Calculus, Mathematical Optimization, Gradient Descent, ",4.5,369,2016,2,"computer science, algorithms","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",2.21919e-05,2
Introduction to Finance and Accounting Specialization,Learn the basics of finance and accounting. Build a foundation of core business skills in finance and accounting,https://www.coursera.org/specializations/finance-accounting,Business,Finance,"Corporate Finance, Financial Accounting, Financial Statement, Accounting, Decision-Making, Discounted Cash Flow, Cash Flow Analysis, Balance Sheet, Generally Accepted Accounting Principles, Accounting Terminology, ",4.4,1753,3360,2,"business, finance","[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",0.0001054266,3
Machine Learning Engineering for Production (MLOps) Specialization,Become a Machine Learning expert. Productionize your machine learning knowledge and expand your production engineering capabilities.,https://www.coursera.org/specializations/machine-learning-engineering-for-production-mlops,Data Science,Machine Learning,"Managing Machine Learning Production Systems, Deployment Pipelines, Model Pipelines, Data Pipelines, Machine Learning Engineering for Production, Human-level Performance (HLP), Concept Drift, Model baseline, Project Scoping and Design, ML Deployment Challenges, ML Metadata, Convolutional Neural Network, ",4.7,2780,2688,2,"data science, machine learning","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1]",0.000167191,0
Business and Financial Modeling Specialization,Build Business and Financial Models. Use spreadsheet models to make data-driven financial decisions,https://www.coursera.org/specializations/wharton-business-financial-modeling,Business,Business Essentials,"Financial Modeling, Microsoft Excel, Simulation, Linear Programming (LP), Modeling, Linear Regression, Probabilistic Models, Regression Analysis, Monte Carlo Method, Solver, Risk, Cash Flow, ",4.5,7555,4032,2,"business, business essentials","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]",0.0004543627,3
Business Analytics Specialization,Make Data-Driven Business Decisions. Achieve fluency in business data strategies in four discipline-specific courses.,https://www.coursera.org/specializations/business-analytics,Data Science,Data Analysis,"Customer Analytics, Analytics, Business Analytics, Decision Tree, Predictive Analytics, Regression Analysis, Marketing Performance Measurement And Management, Simulation, Mathematical Optimization, Solver, Talent Management, Performance Management, ",4.6,15725,4032,2,"data science, data analysis","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1]",0.0009457118,0
Excel Skills for Business Specialization,Learn Excel Skills for Business. Master Excel to add a highly valuable asset to your employability portfolio. ,https://www.coursera.org/specializations/excel,Business,Business Essentials,"Data Validation, Microsoft Excel, Microsoft Excel Macro, Pivot Table, Graphs, Spreadsheet, Chart, Concatenation, Consolization, Pivot Chart, Lookup Table, Microsoft Excel Vba, ",4.9,42571,4032,2,"business, business essentials","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]",0.0025602479,3
The Materiality of ESG Factors Specialization,Learn about ESG Factors When Investing. Analyze the importance of ESG investing. Identify how the ESG approach should be an essential piece of your strategy based on various factors impacting and driving value.,https://www.coursera.org/specializations/materiality-esg-factors,Business,Finance,"ESG, Investment, Climate Change, Finance, social activism, ",4.7,643,2688,2,"business, finance","[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",3.86704e-05,3
AI For Business Specialization,"Learn the Fundamentals of  AI and Machine Learning. Develop a deployment strategy for incorporating AI, ML, and Big Data into your organization that will take advantage of cutting-edge technologies",https://www.coursera.org/specializations/ai-for-business-wharton,Business,Leadership and Management,"Artificial Intelligence (AI), Machine Learning, Management, Analytics, Fraud Prevention, ",4.7,169,2688,2,"business, leadership and management","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]",1.01638e-05,3
Digital Product Management Specialization,Implement a modern approach to product management. Master the fundamentals that create great teams and products,https://www.coursera.org/specializations/uva-darden-digital-product-management,Computer Science,Design and Product,"hypothesis-driven development, Product Management, Design Thinking, agile, Lean Startup, Product/Market Fit, Innovation Pipeline, agile user stories, User Experience Design (UXD), Agile Software Development, Software Development, Usability Testing, ",4.8,2681,3360,2,"computer science, design and product","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]",0.0001612371,2
Graphic Design Specialization,Make Compelling Design. Learn and apply the principles of graphic design towards a comprehensive branding project. ,https://www.coursera.org/specializations/graphic-design,Arts and Humanities,Music and Art,"Visual Communication, Branding Communication, Graphic Design, Art History, Typography, Creativity, Graphics, Design Theory, Color Theory, Adobe Illustrator, History, Adobe Indesign, ",4.7,15224,4032,2,"arts and humanities, music and art","[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]",0.0009155813,3
Security Analyst Fundamentals Specialization,Launch your career in Cybersecurity.. Acquire the knowledge you need to work as a Cybersecurity Analyst.,https://www.coursera.org/specializations/security-analyst-fundamentals,Information Technology,Security,"threat intelligence, Digital Forensics, Data Breach, cybersecurity analyst, Computer Security Incident Management, scripting, forensics, Penetration Test, Cybersecurity, Application Security, network defensive tactics, security analyst, ",4.8,749,2688,2,"information technology, security","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0]",4.50454e-05,3
Improve Your English Communication Skills Specialization,Improve Your English Communication Skills. Write and speak more professionally in English to increase your business success.,https://www.coursera.org/specializations/improve-english,Language Learning,Learning English,"Professional, Email Writing, Presentation, Writing, Communication, Stress, Public Speaking, Speech, ",4.8,15297,3360,2,"language learning, learning english","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]",0.0009199716,3
Entrepreneurship Specialization,"Turn Your Idea into a Funded Business. Develop, launch, fund and grow your own business",https://www.coursera.org/specializations/wharton-entrepreneurship,Business,Entrepreneurship,"Growth Strategies, Exit Strategy, Finance, Entrepreneurship, Discovery-Driven Planning, Elevator Pitch, Planning, Brand Management, Choosing Advisors, Brand, Strategic Management, Marketing, ",4.8,4764,4032,2,"business, entrepreneurship","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",0.0002865101,3
Foundations of Positive Psychology  Specialization,Positive Psychology:  Well-being for life. Master strategies and tools that enable individuals and organizations to thrive,https://www.coursera.org/specializations/positivepsychology,Business,Business Essentials,"Gratitude, goal setting, Research Methodology, Resilience, Character Strengths And Virtues, Positive Education, Positive Psychology, Savoring, Plan, Communication, Mindfulness, Flourishing, ",4.8,6479,3360,2,"business, business essentials","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]",0.0003896513,3
Data Science Specialization,"Launch Your Career in Data Science. A ten-course introduction to data science, developed and taught by leading professors.",https://www.coursera.org/specializations/jhu-data-science,Data Science,Data Analysis,"Github, Machine Learning, R Programming, Regression Analysis, Data Science, Rstudio, Data Analysis, Debugging, Data Manipulation, Regular Expression (REGEX), Data Cleansing, Cluster Analysis, ",4.5,38510,7392,2,"data science, data analysis","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1]",0.0023160167,0
Supply Chain Management Specialization,"Supply Chain Management. Master the Fundamentals: Logistics, Operations, Planning, Sourcing, and Strategy",https://www.coursera.org/specializations/supply-chain-management,Business,Business Essentials,"Forecasting, Logistics, Supply Chain, Lean Six Sigma, Supply Chain Risk Management, Warehouse Management, Logistics Planning, Inventory, Six Sigma, Microsoft Excel, Planning, Demand Forecasting, ",4.8,11037,4032,2,"business, business essentials","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]",0.0006637724,3
Microsoft 365 Fundamentals Specialization,Pursue your passion and improve your productivity. Learn how to use the best-in-class suite of apps that help you stay connected and get things done.,https://www.coursera.org/specializations/microsoft-365-fundamentals,Business,Business Essentials,"Create and maintain professional looking documents, Create and edit a workbook with multiple sheets, Represent data visually, Create and manage presentations, Describe the apps and services available in a Microsoft 365 subscription, Documents, Microsoft Word, Microsoft Excel, Chart, Worksheet, Microsoft PowerPoint, Presentation, ",4.7,1123,3360,2,"business, business essentials","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]",6.7538e-05,3
Search Engine Optimization (SEO) Specialization,Become an SEO Expert. Master search engine optimization tools and strategies,https://www.coursera.org/specializations/seo,Business,Marketing,"Search Algorithm, Search Engine Optimization (SEO), Mathematical Optimization, Semantics, Social Media, Keyword Research, Marketing, Content Marketing, Social Media Marketing, ",4.7,10289,3360,2,"business, marketing","[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",0.0006187872,3
AI Product Management Specialization,"Manage the Design & Development of ML Products. Understand how machine learning works and when and how it can be applied to solve problems.  Learn to apply the data science process and best practices to lead machine learning projects,  and how to develop human-centered AI products which ensure privacy and ethical standards.",https://www.coursera.org/specializations/ai-product-management-duke,Data Science,Machine Learning,"Data Science, Artificial Intelligence (AI), Machine Learning, Predictive Analytics, Modeling, Artificial Neural Network, Project Management, Privacy, Design Thinking, Ethics, ",4.7,165,2688,2,"data science, machine learning","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1]",9.9232e-06,0
Introduction to Programming with Python and Java Specialization,"Boost Your Computer Programming Skills. With minimal previous exposure, learn two popular programming languages at an accelerated pace.",https://www.coursera.org/specializations/programming-python-java,Computer Science,Software Development,"Programming Principles, Python Programming, Java Programming, Data Structure, Computer Programming, Python Tools, Python Syntax And Semantics, Data Science, Python Libraries, Data Analysis, Data Visualization (DataViz), Java Tools, ",4.4,960,2688,2,"computer science, software development","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",5.7735e-05,2
Construction Management Specialization,Construction Project Management and Planning. Develop and understand the foundations of project planning and scheduling techniques,https://www.coursera.org/specializations/construction-management,Business,Leadership and Management,"Schedule, Cost Estimate, Cost Control, Finance, Real Estate finance, Project Management, Construction Management, Work Breakdown Structure, Project Planning, Linear Scheduling Method, Program Evaluation And Review Technique (PERT), Critical Path Method, ",4.8,6900,4704,2,"business, leadership and management","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]",0.0004149705,3
IBM Introduction to Machine Learning Specialization,Learn machine learning through real use cases. Build the skills for a career in one of the most relevant fields of modern AI through hands-on projects and curriculum from IBM’s experts.,https://www.coursera.org/specializations/ibm-intro-machine-learning,Data Science,Data Analysis,"Machine Learning Regression, Machine Learning Classification, Machine Learning, Unsupervised Learning, Exploratory Data Analysis, Artificial Intelligence (AI), Feature Engineering, Statistical Hypothesis Testing, Regression Analysis, Supervised Learning, Linear Regression, Ridge Regression, ",4.7,251,4032,2,"data science, data analysis","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1]",1.50953e-05,0
Data Analysis and Presentation Skills: the PwC Approach Specialization,"Make Smarter Business Decisions With Data Analysis. Understand data, apply data analytics tools and create effective business intelligence presentations",https://www.coursera.org/specializations/pwc-analytics,Business,Business Essentials,"Data Analysis, Microsoft Excel, Data Visualization (DataViz), Presentation, Data-Informed Decision-Making, Big Data, Pivot Table, Data Cleansing, Dashboard (Business), Data Virtualization, Communication, Presentation Design, ",4.7,9541,4032,2,"business, business essentials","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]",0.000573802,3
Python 3 Programming Specialization,Become a Fluent Python Programmer. Learn the fundamentals and become an independent programmer.,https://www.coursera.org/specializations/python-3-programming,Computer Science,Software Development,"Json, Computer Programming, Python Programming, Sorting, ",4.7,15871,3360,2,"computer science, software development","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",0.0009544923,2
